id,nh_text
32604810,"<hight50> Beautiful bright 2-bedroom -2 bathroom apartment split level

 Nestled into North Capitol Hill, just above the Eastlake neighborhood, this quiet apt is a split-level 1000 sq ft unit on the 2nd floor with peekaboo views of the Olympics. -Great location with easy transportation options (Bus stop right outside services #49 to U Dist.) -Easy access to I5 N and S, walking distance to Roanoke Park and Lake Washington -One car garage with storage and common patio access with grill -Fresh coat of paint and newly remodeled with washer/dryer in unit -Cozy wood burning fireplace -Water, sewage, garbage included in rent (electricity is not) Please contact Rick. OPEN HOUSE TOMORROW SATURDAY AND SUNDAY DEC 30th and 31st 11AM to 2 PM WSG included in rent. Cats OK (but no dogs) with added deposit. Apartment viewings will start on December 29th, 2017 and leasing can begin on January 1st, 2018."
74060210,"<hight50> Renovated Apartment -Prime Location, Corner Unit, Pet-Friendly,Parking


================================================
OPEN HOUSE TODAY (Masks are Required):
Wednesday (Dec. 16) from 12 to 3pm;
Thursday (Dec. 17) from 12 to 3pm;
Friday (Dec. 18) from 12 to 3pm;
Saturday (Dec. 19) from 12 to 3pm;
Sunday (Dec. 20) from 12 to 2pm.
If any questions, CALL
show contact info
 click to show contact info
or
show contact info
 click to show contact info
or
EMAIL
by clicking """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""reply"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" above.
VIDEO TOUR:   https://youtu.be/LYJSlncOxHw
================================================
RENOVATED and SPACIOUS 2 Bedroom Apartment Home! PRIME LOCATION
Located in Echo Park, Los Angeles, CA
LEASE TERMS:
$1,980 per month
1 year lease
1 months security deposit
Owner pays for Water
950 Sq. Feet
APARTMENT FEATURES:
2 Bedrooms + 1 Bathroom
Fully Renovated + All Brand new
Pet-Friendly: Small Dog and/or Cat
New Kitchen Cabinets
Granite Countertops
Hardwood Floors
24-hour Laundromat couple doors away, on the corner of the Roselake Ave and Beverly Blvd (no laundry onsite)
1 Assigned Parking Space included. Also, there is FREE Street Parking available (no time restrictions except for street sweeping day).
PRIME LOCATION:
WALKING DISTANCE to shops, coffee shops (such as Doubting Thomas coffee shop), restaurants, bars, and farmers market)
Easily accessible to 101 fwy, Los Feliz, Echo Park, Downtown LA, Pasadena, Glendale, and Hollywood.
216 Rosemont Avenue, Los Angeles, CA 90026
(Echo Park, Los Angeles)"
55836877,"<hight50> HUGE & BRIGHT NEW 2+2 w/BALCONY, CNTRL AC, PARKING, MASTER SUITE! 9022


REQUEST TO VIEW THIS GREAT APARTMENT VIA PACIFIC LISTINGS FREE WEBSITE:
www.PacificListings.com/PL9022
2 BEDROOM + 2 BATHROOM
Prime RESEDA Location
Fully Remodeled Bright Unit
Front Facing w/Private Balcony
Beautiful Wood Flooring
Reserved Parking
Swimming Pool
Property ID CODE: PL9022
Please refer to this code when contacting us about this unit.
Modern & Bright Front Unit
All New Kitchen w/Granite
New Stainless Steel Appliances
Range, Hood, Microwave, Dishwasher
Modern Cabinets
Beautiful Hardwood Floors
Working Brick Fireplace
Central Air Conditioning
Dining Area
Large Master Bedroom Suite
Multiple Closets
Two Spacious Bathrooms
Big 2nd Bedroom w/GIANT Walk-In
1 Parking Space
Beautifully Landscaped
Pool & Courtyard
Cats OK! (Additional Deposit)
Great Reseda Neighborhood - Near Tarzana, Northridge, Winnetka, North Hills, Encino, Sherman Oaks, Van Nuys & CSUN!"
82532563,"<hight50> SO! 2BR 2BA DUPLEX UNBELIEVABLE $3100 INCL ALL UTIL W99/BWAY!


SINCERELY SORRY I DON'T HAVE PICS
THIS IS A SPECTACULAR DEAL AS THE ADV SAYS 2BR 2BATHS DUPLEX $3100 INCLUDES ALL UTILITIES
KILLER DEAL 1 MONTH FREE RENT AND HALF MONTH ($1550) BROKER'S FEE
24 HOUR DOORMAN BUILDING ELEVATOR LAUNDRY BIKE STORAGE
SECURITY CAMERAS THROUGHOUT
PACKAGE ROOM
FRIENDLY STAFF HAND DELIVERS (currently Covid restrictions in place) MAIL ANYTIME AROUND THE CLOCK
GARBAGE CHUTE ON ALL FLOORS
FRONT FACING APT
THIS IS NOT A CONVERSION FROM 1BR TO 2BR APT
IT IS A LEGITIMATE 2BR AND 2 BA WITH KITCHEN AND LR
WILL HAVE ACCESS TO SHOW THIS SUNDAY ON
FIRST COME 1ST SERVED
ALL WELCOME INCLUDING STUDENTS AND/OR GUARANTOR
AS THEY SAY LOCATION LOCATION LOCATION
BUILDING ON CORNER OF W99 ST AND BROADWAY
PLEASE HAVE PROVABLE INCOME
FEEL FREE TO CONTACT ME FOR I AM A LICENSED BROKER FOR 32 YEARS ON THE UWS
STARTING TO SHOW THIS SUNDAY 02/28 BY APPOINTMENT FROM NOON TO 7"
33319240,"<hight50> Amazing home in an even better neighborhood!

 Amazing home in an even better neighborhood! Welcome to Normandy Park, great schools, parks, location and amenities! This rental is beautiful inside and out. This is the upstairs/main level of the home. Walking into an open floor plan with high ceilings and many updated comfort features. Gas stove and updated kitchen! Living room and bonus area next to dining room. Two bedrooms plus a separate office. Wheelchair accessible home with ramp and bathroom. HUGE 3 car detached garage! Gas fireplace Deck and backyard with your own creek and bridge! You will love this home as much as we do!"
33583545,"<hight50> Crown Hill Cutie with Expansive Yard, New Fencing & Nearby to Carkeek

 Description Location,location, location! Easy commute to Seattle, and close to Greenwood, Ballard, and Phinney Ridge neighborhoods  for shopping and restaurants, with Carkeek Park only minutes away.  This charming 2bd/1ba house is a great condo alternative with tons of storage, plenty of parking and a HUGE deck and private back yard. New carpet, water tank, some new windows & new fence make it a clean & fresh space. Washer and Dryer stay in laundry room for resident use. Home comes with dedicated resident storage shed as well. Pets Negotiable on a case by case basis, additional pet deposit would apply and rent increase by $25. Located off alley, yard backs to NW 3rd. Features Refrigerator Dishwasher Balcony, deck, patio Fenced yard Laundry room / hookups Oven / range Heat - electric Laundry room Open to 6 mo, 9 mo or 12 or 15 mo lease term available. $15 Per Person Application. Security Deposit is $1750. SD & $150 Admin Fee due prior to lease signing. Fee Please read tenant screening criteria located near bottom of application for more information."
33340676,"<hight50> Westwood village Condo 2b2bth

 1012 Sqft Cat Friendly Dog Friendly(<30lbs) Great location with parking! Walk score is 85. Directly across from grocery store, bank, target, rite aid, post office, staples, Barnes&Noble, restaurants, and multiple bus lines. 2nd level condo with west facing balcony, and remodeled kitchen."
34053839,"<hight50> XL 2 BD -- Live Here - Live Well @ Delmar Morris Apartments

 """""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" LIVE HERE AT DELMAR MORRIS APARTMENTS Looking for that spacious two-bedroom apartment with great amenities & features? Looking for a great neighborhood that offers it all? 2 BD | 1 BA @ Delmar Morris Apartments 319 W. Chelten Ave. Philadelphia, PA Bedrooms: 2 Bathrooms: 1 Parking: Street Parking Laundry: Washer/Dryer In Unit Pet Policy: Dogs & Cats Features - 12 ft. ceilings with large open floor plan - Hardwood flooring throughout - Huge double-pane windows with great natural light - Modern kitchens with granite countertops, kitchen island, wood espresso/glass cabinetry - Full-size stainless steel appliances - Large closet & storage space - Spa bathroom with soaking tub - Modern overhead lighting Location - Direct access to public transportation & major roadways;  SEPTA Chestnut Hill West Line, Rt. 1, I-76, Lincoln Drive & Kelly Drive - Close to Philadelphia's public parks; Wissahickon Trails, Fairmount Park - 15 minute access to Manayunk, Chestnut Hill, City Line Ave, Center City & everywhere in between These modern renovations make this 2 BD the premier living for you! Contact Information | show contact info  click to show contact info """""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
36353547,"<hight50> 2 bedrooms, 2 baths, Top Floor, Trail, Pool, 2 parking spaces(Kenmore)

 Excellent rental opportunity in modern complex on Burke-Gilman Trail available immediately. 2 large bedrooms, 2 full baths, spacious living room with vaulted ceilings. 2 underground secure parking spaces. Top floor, no one above you. Large deck with separate storage space. Open kitchen floor plan with cabinets galore, eating bar along with great space for the dining table. Wood burning fireplace. Burke Gilman trail just outside your door! Shopping and restaurants with-in walking distance! Elevator or stairs take your pick. Clubhouse, with exercise equipment and outdoor pool! Great location, close to 522 makes for an easy commute to Seattle or Bellevue. Grocery stores, shops and restaurants just around the corner. Please contact Janet at show contact info  click to show contact info RENTAL FEATURES - Dining room - Laundry room - Living room - Master bath - Walk-in closet - Dishwasher - Dryer - Garbage disposal - Microwave - Refrigerator - Stove/Oven - Washer - Balcony, Deck, or Patio - Garage - Detached - Fireplace COMMUNITY FEATURES - Fitness center - Swimming pool - Guest parking LEASE TERMS Terms: 1st month's rent, security deposit (= to one month's rent), 12-month lease. Non-smoking. Pets case by case and subject to restriction with additional deposit. $35 non-ref fee paid by each 18+ y/o applicant. rent include water, garbage."
38684163,"<hight50> 2 Bed, 1 Bath move in ready Kirkland Condo

 Showing 5/7 6:30-7:30pm 5/8 6:30-7:30pm Call or text show contact info  click to show contact info to make appointment. Current tenant vacates on 5/10. Condo in a great Kirkland location! This wonderful condo has an excellent layout w/ two bedrooms on opposite sides of the unit. Unit has Granite Tile Counter tops. Located just a mile from Juanita Beach and easy access onto 405, you're going to love the great amenities such as the club house, pool, hot tub, exercise room, and athletic court. *Move in ready* 2 Bedrooms, 1 Bath - Kitchen with microwave, dishwasher, fridge, - Family size washer, dryer in unit. - Baseboard heating and wood burning fireplace - Cable ready. - Built-in closets in 2 bedrooms - Private balcony. - Not furnished - 2 parking spaces - 1 covered, 1 uncovered Community features: Cable Television, Club House, Exercise Room, Fire Sprinklers, High Speed Internet Available, Hot Tub, Outside Entrance, Outdoor Pool Rent: $1800 per month (first month due at signing of Lease) Security Deposit: $1800 (due at signing of Lease) Move in fee: $150 (non refundable) 12 months lease required. Rent includes water, sewer and garbage. Address: 11109 NE 124th Ln Unit B207 Kirkland WA 98034 Community: Kirkland Place"
32651019,"<hight50> Clean, Bright, Large 2BR Town Home in North Green Lake

 Lots of light and great location. This well-maintained unit was built in 2005 and has been lived in by owner until present. Property sits a short jog from Green Lake. Enjoy easy access to Highway 99, I-5, and bus lines heading north/south (to downtown) and east/west (to University District/Loyal Heights). 1400-sq. ft. town home (3 floors) Attached garage for 1 car 2 bedrooms + Bonus room for office or storage 1 full bathroom and 1/2 bathroom Open living and dining room layout Hardwood floors throughout unit (new hardwood installed on top floor Fall 2016) Newly painted internal walls Fall 2016 / newly painted external walls Fall 2017 Stainless steel kitchen appliances in excellent condition Appliances include: Fridge, Gas Stove, Microwave, Dishwasher, Washer/Dryer Garbage Disposal Gas Fireplace Date Available: Now 1-month security deposit Utilities not included Non-smoking No Pets *Renter's Insurance required* Credit Check required"
76892681,"<hight50> LARGE Remodeled 2B/1Bath:Perfect for Solo/Couple/2roomies


PRIME RICHMOND NEIGHBORHOOD
Large Airy extensively remodeled unit in Triplex Building
Bright and spacious, around 900 sq ft.
Garden view
New flooring throughout
Great Room: Living Room & Dining Room
Spacious open eat-in kitchen (quartz countertop, gas stove)
2 large Bedrooms
Tiled Bathroom with soaking tub
Closets and storage
In-building washer & dryer
Close to high star-ranking schools, shopping and transportation
Extremely convenient Richmond neighborhood
Perfect for solo or couple or roommates
https://sites.google.com/view/46719thave2/home"
80286034,"<hight50> Great move in special !!! Must See !!!


Thank you for reaching out. This is our latest project . It turned out beautiful . If you are looking for a nice place to live. I have it.
I have great tenants. Working professionals. Nice and respectful people. Great vibe.
Built in 1985. It has become a funky cool area to reside in. You have great little spots to eat and hang out. Local Barista bars. Very close to Downtown LA also located near Heritage Square, Carlin G. Smith Recreation Center and Sycamore Grove Park.
With a walk score of 70 , Transit 64 and very Bikeable at 75.
We have just recently added new Solar panels on the roof / Green friendly.
Amenities Included:
-Fully repainted.
-New Walnut vinyl flooring thru out.
-Recess lighting.
-New blinds.
-New back splash in kitchen and bath.
-New Frigidare Gallery: Stainless steal sink, Fridge, stove, dish washer and
microwave.
-New Coffee Expresso cabinets in kitchen and bathroom.
-New fans as well.
- AC combo Heater.
Bathroom is completely renovated as well:
-New vanity
-Medicine cabinet.
-Malibu back splash again with crisp blue accents in the bath area.
-New tub and glass doors.
-Laundry on premises.
-2 parking spot / tandem
-Pet friendly. $250.00 pet deposit and you will be signing a Pet Contract as well.
-Manager lives on premises.
-Gated entry.
-We pay water and trash. You pay your utilities.
-Credit checks on all applicants. $25.00 non-refundable fee.
-Security Deposit and 1st month rent.
You can take a Virtual tour and apply online at my web page : Larchmont Housing.com
Thank you for your time and hope to see you soon.
Good Day."
82575514,"<hight50> $1349, 2 bed/1 bath+Office 1000 sq ft


Charming, newly renovated 2bed/1 bath with bonus room that is perfect for office space or a smaller third bedroom
1000 sq ft, tasteful updates
Includes 2 off street parking spaces and a shared backyard (great for pets!)"
42057167,"<hight50> GREAT LOCATION CLOSE TO MEDIA CENTER WITH POOL & PARKING

 Large 2-bedroom unit with fresh paint throughout in a clean, quiet complex with off street parking, laundry facilities and swimming pool. The building is well managed and is in a great neighborhood close to shops, restaurants, public transportation and park. Less than a mile from downtown Burbank and less than 15 minutes from downtown L.A. Must see. Please contact the resident manager at show contact info  click to show contact info or show contact info  click to show contact info for more info. and to see the unit."
49920521,"<hight50> Large open floor plan 2bd, w/d hookup,

 2 bedroom apartments on the second floor available for rent in 2 family house by owner. No Fee. Great location off Victory Blvd and Hoodges Place. Catch local and expess busses, 15 min to the ferry, easy exit to the expressway. Clove lake park, shopping, good schools. Plenty parking on the street. Freshly painted, open floor plan, hardwood floors, tile in bathroom and kitchen. New kitchen with granite countertop. Large bedrooms with closets. Skylight in the bathroom. Washer and dryer hook ups. Heating and water bills are included. Family or roommates. No smoking. No pets. Background and employment verification. Income and credit need to meet the requirements or co-signer may be included in the lease. Apartments are available ASAP. No Fee No Fee No Fee"
38329582,"<hight50> 2 bedroom apartment for rent

 Beautiful 2 bedroom 1 bathroom ready for Move in. 2 parking spots included! Great location, nearby by groceries stores, schools, parks, and easy access to public transportation."
35389617,"<hight50> 550 Seminole Avenue NE, Atlanta, GA

 Location, Location, Location. You will love this move in ready town house in Inman Park. End unit townhome is a short walk to all that Inman Park, Little 5 Points, & Virginia Highlands have to offer. It features two upstairs bedrooms w/ensuite baths & large open living space on main level. The updated kitchen is spacious and has a glass door that opens up to the good sized back yard. Right next to the Freedom Park path so jump on your bike and be on the belt line in minutes without getting on the street. Unit comes furnished but can be delivered unfurnished as well."
56468850,"<hight50> Great 2 BR Apt Great Central Location, Great Price, Rear Deck


Available September 1st- Amanda Davis from Benoit Real Estate Groupat 843-817-8960 for an immediate appointment for a showing! *We are currently only doing virtual tours. 

*Fees include first months rent, security and 1 month broker fee
PROPERTY INFO
ID: 124644711
Rent: $2,200 / Month
Beds: 2
Bath: 1
Available Date: 09/01/2020
Pet: No Pets
Parking:: street parking
Spacious 2 Bedroom Apartment - Great Central Location in Somerville, Great Price- 1st Floor Unit
o Great Central Location -1mile from Davis Sq and Porter Sq- easy to get anywhere in the City!
o Living Room, Kitchen, (2) Good sized Bedrooms, Bathroom
o Large Rear private Deck
o Hardwood Floors, beautiful natural light
o Laundry -Washer Dryer in basement
o Storage in Basement available
o Easy Street Parking
Deposits of 1st month, security deposit and brokers' fee required with all Applications!
Pricing & availability subject to change. The advertised price & availability must be confirmed at the time of showing."
34820646,"<hight50> Beautiful 2 bedroom condo for rent

 Beautiful 2 bedroom, 2 full bath, 4th floor condo - unfurnished.   Excellent location between Hollywood and Sunset Blvd.  Walking distance to Runyon Canyon Park.  Stainless steel appliances including refrigerator, dishwasher and microwave.  Washer/dryer combo in the unit. Walk-in closet in master bedroom. 2nd bedroom can be used as an office.  Tile in living/dining/kitchen and new carpet in the bedrooms. Air conditioning. Quiet, top floor unit.  Balcony with a view of Hollywood Hills. 2 car tandem parking below. Exercise room, resort-style swimming pool and jacuzzi on premises. Walking distances to stores and restaurants. Excellent for a couple or two singles.  Available 18 February."
37066126,"<hight50> Book Your Stay @ Ten05 Save Up To $500 1st Month Rent

 Don't miss out on a great deals. Book your new home in a great location. We have the space you need and the best rates in Upton Charlotte. Call today show contact info  click to show contact info and tour your new home."
32719152,"<hight50> Arlington Oso area 2 bd on river avail 2/20-3/1, Pets OK  $1650/mo

 Arlington 2 bedroom home ON THE RIVER in the Oso area.  Available aprx Feb 20 or March 1.  Pets/smoking negotiable, Section 8 possible. $1650/mo rent + deposit ($1200), last mo rent can be paid over time.  W/s/g @75 per month, so $1725/mo total. For a FREE application (= no fee), email: show contact info You can go see the outside after confirming email or phone call...so first ask for the application and we will go from there. Great location RIGHT ON THE RIVER in Oso...fish, swim, tube, kayak, watch the eagles and wildlife from your back porch. Large carport and decent sized yard with a couple storage sheds Located just 1 block south of Hiway 530 in Oso, off the Hiway at Oso Loop Rd and 1 block right. I will get better photos posted to this ad from my current tenant in a day or two."
48853579,"<hight50> TRUE Downtown LA Living+ 2 Weeks Free

 2 bed, 2 bath apt. is located in a 4-plex just a block north of Wilshire in a very nice neighborhood moments away from The Grove, Beverly Center, shops on 3rd street, and Hollywood. It is right next to Beverly Hills, in the heart of WEST LA. The apt. itself has hardwood and large tile floors, lots of french windows, a large living room and dining room, and a newly renovated large kitchen with all the amenities including refrigerator, drinking water, dishwasher, and garbage disposal. The kitchen also has a brand new MICROWAVE OVEN, Every bedroom also has a new ceiling fan. The unit also has its own washer and dryer, large garage, and tandem parking for 2 cars. There is also a small garden in the back for BBQ' This unit is a MUST SEE!! Rent has been reduced to only $3100  to rent it out as soon as possible to the right tenants. We would prefer to rent it out sometime in the next 2 weeks. Excellent for ROOMMATES. Don't miss this opportunity to live in a GREAT apartment in a GREAT location right in the heart of town, Note the apt. is on Orange STREET and not Orange drive. Orange St. is a half block north of Wilshire, in between Crescent Hgts and Fairfax. Also note that parking is included and is NOT extra. For more information, and to see the apt., call show contact info  click to show contact info 2 Weeks free if any one Sign the Lease on March"
34874292,"<hight50> Charming 2 Bedroom 1-1/2 Bathroom HOME For Rent In Awesome Location

 High ceilings, large, 1085 sf. Clean, cool, Diamond Head, city and ocean views. Excellent school district. Close to UH, restaurants and shopping. On bus line. Includes 1 covered and 1 open parking stall, washer/dryer, solar water heater, appliances and professional yard service."
33721655,"<hight50> Wonderful 2 bdrms 2 baths 1 parking near Ala Moana

 Wonderful 2 bedroom apartment with 2 full baths, covered parking, and spacious lanai with washer/dryer, and storage closet on the second floor. Super location - quiet street, near Waikiki and Ala Moana. Apartment upgraded with laminated wood flooring, kitchen and bath. Secured entry. Available 12/23/2018. Tenants pays for electricity, cable and internet. No smoking in unit. No pets. No Section 8. Contact Roselyn Yun (R) show contact info  click to show contact info , Hawaii Rainbow Realty, Inc. (license #RB18414) for showings."
33751605,"<hight50> All electric.

 Lovely apartment that has been fully renovated. Kitchen has brand new appliance's, and plenty of cabinets. Decent sized living room.  New flooring, fresh paint, great location. show contact info  click to show contact info"
61550726,"<hight50> ***Ala Moana 2 bed 2 bath 1 parking Pet friendly Utilities Included***


GREAT LOCATION! REARLY AVAIBALE! Everything you need is within walking distance. Very convenient to get on the Bus, Shopping, Jogging, finding places to eat and groceries.
Across the street is Ala Mona Shopping Center.  5min walk from Don Quijote, Target, Walmart, Walgreen, Magic Island.  Safe and secured building.  Quiet.  Great neighborhood.
Spacious Bedroom from 2 Bedroom unit with 2 bathroom and storages.  AC.  Upgrade full Kitchen and spacious Living Room.  Pet friendly.  RENT INCLUDE UTILITIES (water and electricity) and basic cable.  One covered parking stall.
You can't find more convenient location than this place.  Available immediate.   Email to schedule a viewing.  Background check and security deposit required (active military can waive background check upon verification of identity).  Don't miss the opportunity to rent this unit!!!
Amenities:
- Secured Building
- Full Kitchen with Range, Refrigerator and Pantry Storage.
- City View with Separated Lanais
- Utilities (Water and Electricity) and Basic Cable included
- Swimming Pool
- Self-Pay Washer and Dryer at 2nd floor
- A/C Included
- Friendly neighbors"
82682281,"<hight50> Great location+ All bills Paid $1,144


Stop by today to see our beautiful community!
Washer & Dryer hookups + Walk-in closet
Located 7minutes away from Northpark Malll.
Call today to make an appointment to tour
show contact info
 click to show contact info
6003 Abrams Rd
Dallas"
32540873,"<hight50> 2 bed room condo in Kirkland

 Located in the Kingsgate area, a lovely 2 bed room 1.25 baths unit. Fully renovated condo on a quiet street. Sunshine in all rooms. new paint, new hardwood/carpet/laminate floor, new windows, and new kitchen cabinets and counter top. Large master w. own vanity sink, Jack and Jill bathroom serving both bedrooms.  Spacious deck/balcony w storage space. Kitchen w stainless steel appliances, granite/slab. Laundry room w. washer/dryer. Great location w. easy access to freeway (I-405). Walking distance to shopping (Safeway, restaurants, and banks, etc.), park, and trails. Please no pets or smokers. $1600/month."
42769471,"<hight50> Lovely 2 bedroom in great location (Hackensack)

 Fairmount Section of Hackensack (River Edge Border) 2 Bedrooms w/Ceiling Fans Large Living Room with A/C Unit to Cool Entire Space Updated Kitchen and Bathroom Heat and Hot Water Included Asking $1,400 for Rent Laundry on Premises Parking Space 15 minutes from NYC and close to all public transportation, major highways, and shopping"
